host_id,host_name,is_superhost
2787,John,False
2845,Jennifer,False
4632,Elisabeth,False
4869,LisaRoxanne,True
7192,Laura,False
7322,Chris,False
7356,Garon,False
8967,Shunichi,True
7490,MaryEllen,False
7549,Ben,False
7702,Lena,False
7989,Kate,True
9744,Laurie,True
11528,Claudio,False
11975,Alina,False
15991,Allen & Irina,False
17571,Jane,False
18946,Doti,False
20950,Adam And Charity,True
17985,Sing,False
21207,Chaya,True
22486,Lisel,False
25183,Nathalie,False
25326,Gregory,False
26394,Claude & Sophie,False
30193,Tommi,False
31374,Shon,False
21904,Dana,False
32294,Ssameer Or Trip,False
32045,Teri,False
32169,Andrea,False
35935,Angela,False
7355,Vt,False
44145,Tyrome,False
45445,Harriet,False
46978,Edward,False
47610,Abdul,False
47618,Yolande,False
16800,Cyn,False
47727,Earl,False
49670,Rana,True
50124,Orestes,False
50148,Adreinne,False
50846,Jennifer,False
52335,Alexander,False
54275,JT And Tiziana,False
56094,Joya,False
56104,James,False
56246,Jeanne,False
56284,Francesca,False
56512,Joanna,False
59023,Bianca,False
59734,Luiz,True
60049,Ted,False
60252,Cristina,False
60278,Petra,True
61491,D,False
63588,Dimitri,False
63613,Patricia,False
63924,Mark,True
64056,Sara,True
64442,Reka,False
64522,Daniel,False
4396,Casey,False
65837,Robin,False
66035,Anna,True
66243,Enzo,False
68428,Tye And Etienne,False
68599,George,False
69829,Josh,False
69942,Victoria,False
70091,Justin,False
71512,Blaise,False
71876,DAVID And RICK,False
72014,Lulú,False
73051,Sybilla,False
73128,JoLynn,False
73469,Gaia,False
44263,Ana,False
74303,Maggie,False
74857,Starlee,True
62407,Edward,False
76627,Pas,True
961342,Augustin,False
78460,Sean & Lynette,False
51038,Erica,False
79070,Tracy,True
79402,Christiana,False
42032,Dana,False
82685,Elliott,False
83257,Olan,False
87773,Shelly,True
11481,Annette,False
63318,Meka,False
93790,Ann,False
97219,Seth,False
97797,Brenda,False
105538,Erik,True
107628,Dena,False
109589,Jessica,False
112793,Sally,True
42273,Dani,False
72062,Bruce,False
115157,Nimo,True
115307,Alexandra,False
115560,Stacy,False
118971,Evelyn,True
119510,Emma,False
119588,Vero,True
119900,Sylvie,True
120223,Jen,False
65091,Kay,True
6197784,Jo,False
124352,Lisa,True
124797,Fernando And Lenin,False
126607,Laurine,False
127608,Chris,True
125857,Uli,False
129352,Sol,False
120335,Cs,False
117287,Lara,False
135619,Tom,False
137292,Sunder,False
137814,Waldemar,True
137974,Khem,False
116599,Sahr,False
138579,Ali+Scott,False
139612,Elisabeth,False
139874,Sarah,False
140025,Fredah,False
142833,Katherine,False
143027,Ming,False
143048,Paula,False
149929,Obed,True
120291,Karen,False
62165,Michael,False
142684,White,False
137432,Paz,False
157798,Irene,False
158284,Karene,False
159370,Viviana,True
92788,Sara,False
165789,Sarah,False
168417,Marie,False
168525,Gus,False
110506,Myung,False
170510,Renée,False
171851,Henry,False
174025,Sylvia,False
180083,Syl,True
181167,Lorenzo,False
