profile_id,bio_text,user_id
5001,Hi! I am traveler 1001. I love exploring NYC.,1001
5002,Hi! I am traveler 1002. I love exploring NYC.,1002
5003,Hi! I am traveler 1003. I love exploring NYC.,1003
5004,Hi! I am traveler 1004. I love exploring NYC.,1004
5005,Hi! I am traveler 1005. I love exploring NYC.,1005
5006,Hi! I am traveler 1006. I love exploring NYC.,1006
5007,Hi! I am traveler 1007. I love exploring NYC.,1007
5008,Hi! I am traveler 1008. I love exploring NYC.,1008
5009,Hi! I am traveler 1009. I love exploring NYC.,1009
5010,Hi! I am traveler 1010. I love exploring NYC.,1010
5011,Hi! I am traveler 1011. I love exploring NYC.,1011
5012,Hi! I am traveler 1012. I love exploring NYC.,1012
5013,Hi! I am traveler 1013. I love exploring NYC.,1013
5014,Hi! I am traveler 1014. I love exploring NYC.,1014
5015,Hi! I am traveler 1015. I love exploring NYC.,1015
5016,Hi! I am traveler 1016. I love exploring NYC.,1016
5017,Hi! I am traveler 1017. I love exploring NYC.,1017
5018,Hi! I am traveler 1018. I love exploring NYC.,1018
5019,Hi! I am traveler 1019. I love exploring NYC.,1019
5020,Hi! I am traveler 1020. I love exploring NYC.,1020
5021,Hi! I am traveler 1021. I love exploring NYC.,1021
5022,Hi! I am traveler 1022. I love exploring NYC.,1022
5023,Hi! I am traveler 1023. I love exploring NYC.,1023
5024,Hi! I am traveler 1024. I love exploring NYC.,1024
5025,Hi! I am traveler 1025. I love exploring NYC.,1025
5026,Hi! I am traveler 1026. I love exploring NYC.,1026
5027,Hi! I am traveler 1027. I love exploring NYC.,1027
5028,Hi! I am traveler 1028. I love exploring NYC.,1028
5029,Hi! I am traveler 1029. I love exploring NYC.,1029
5030,Hi! I am traveler 1030. I love exploring NYC.,1030
5031,Hi! I am traveler 1031. I love exploring NYC.,1031
5032,Hi! I am traveler 1032. I love exploring NYC.,1032
5033,Hi! I am traveler 1033. I love exploring NYC.,1033
5034,Hi! I am traveler 1034. I love exploring NYC.,1034
5035,Hi! I am traveler 1035. I love exploring NYC.,1035
5036,Hi! I am traveler 1036. I love exploring NYC.,1036
5037,Hi! I am traveler 1037. I love exploring NYC.,1037
5038,Hi! I am traveler 1038. I love exploring NYC.,1038
5039,Hi! I am traveler 1039. I love exploring NYC.,1039
5040,Hi! I am traveler 1040. I love exploring NYC.,1040
5041,Hi! I am traveler 1041. I love exploring NYC.,1041
5042,Hi! I am traveler 1042. I love exploring NYC.,1042
5043,Hi! I am traveler 1043. I love exploring NYC.,1043
5044,Hi! I am traveler 1044. I love exploring NYC.,1044
5045,Hi! I am traveler 1045. I love exploring NYC.,1045
5046,Hi! I am traveler 1046. I love exploring NYC.,1046
5047,Hi! I am traveler 1047. I love exploring NYC.,1047
5048,Hi! I am traveler 1048. I love exploring NYC.,1048
5049,Hi! I am traveler 1049. I love exploring NYC.,1049
5050,Hi! I am traveler 1050. I love exploring NYC.,1050
5051,Hi! I am traveler 1051. I love exploring NYC.,1051
5052,Hi! I am traveler 1052. I love exploring NYC.,1052
5053,Hi! I am traveler 1053. I love exploring NYC.,1053
5054,Hi! I am traveler 1054. I love exploring NYC.,1054
5055,Hi! I am traveler 1055. I love exploring NYC.,1055
5056,Hi! I am traveler 1056. I love exploring NYC.,1056
